city,name,type,address,capacity_range,pp_min_lkr,pp_max_lkr,contact,website,stall_ok,rating
Nuwara Eliya,Strudel & Co,dessert carts,Queen Elizabeth Dr,40-400,550,1100,+94 77 555 7788,,true,4.0
Jaffna,Northern Flavours,full-service,Stanley Rd,100-700,1600,3000,+94 21 222 3344,,false,4.2
Jaffna,Palmyrah Plates,traditional,Hospital Rd,100-600,1400,2600,+94 77 800 5511,,false,4.1
Jaffna,Ice Kottu Cart,stall|dessert,Old Park Rd,50-700,400,900,+94 71 111 2332,,true,3.9
Jaffna,Spicy Tawa,live-stations,Clock Tower,80-600,900,1600,+94 77 222 8999,,false,4.0
Matara,Southern Bites,full-service,Beach Rd,120-800,1500,2900,+94 41 222 1000,,false,4.2
Matara,Surf & Snack,stall|snack,Polhena,80-800,450,900,+94 71 777 0909,,true,3.9
Matara,Lime & Chill,beverage carts,Matara City,60-900,300,650,+94 76 333 2200,,true,3.9
Matara,Coconut Grill,stall|grill,Devinuwara,80-700,650,1300,+94 71 456 4567,,true,4.0
Anuradhapura,Rajadhani Caterers,full-service,Wijaya Mawatha,150-1000,1600,3100,+94 25 223 3344,,false,4.1
Anuradhapura,Tank View Stalls,stall|mix,New Town,80-1200,500,1100,+94 76 882 7722,,true,3.9
Anuradhapura,Heritage Sweet Cart,dessert carts,Old Town,40-500,450,900,+94 77 321 2211,,true,3.9
Trincomalee,Marine Bay Caterers,full-service,Uppuveli,120-900,1700,3200,+94 26 222 8899,,false,4.2
Trincomalee,Harbour Grills,stall|grill,Fort Frederick,100-1000,700,1400,+94 71 902 3344,,true,4.0
Trincomalee,Blue Wave Juice,beverage carts,Nilaveli,60-900,300,650,+94 76 443 3344,,true,3.9
Batticaloa,Passikudah Platters,full-service,Pasikuda,100-700,1700,3200,+94 65 222 7788,,false,4.2
Batticaloa,Lagoon Bites,stall|seafood,Navalady,80-800,800,1600,+94 77 311 8899,,true,4.0
Batticaloa,Tropical Scoops,dessert carts,Batticaloa Town,40-600,450,950,+94 76 888 0001,,true,3.9
Hambantota,Deep South Caterers,full-service,Tangalle Rd,150-1200,1800,3400,+94 47 222 1100,,false,4.2
Hambantota,Mattala Grill Pods,stall|grill,Mattala,100-1500,650,1300,+94 71 550 5505,,true,4.0
Hambantota,Oasis Juice Bar,beverage carts,Hambantota,60-1000,300,650,+94 76 121 2121,,true,3.9
Kurunegala,Wayamba Caterers,full-service,Dambulla Rd,120-1000,1500,2900,+94 37 222 3344,,false,4.1
Kurunegala,Clock Tower Stalls,stall|mix,Kurunegala Town,80-1500,500,1100,+94 71 707 7070,,true,3.9
Kurunegala,Sweet Kiri Cart,dessert carts,Clock Tower Rd,40-600,400,900,+94 76 333 4444,,true,3.9
